id,nome,data,tasso
MII158895,Milano San Vittore,2024-10-20,222.9935
MII178501,Milano San Vittore femminile,2024-10-20,177.7778
MII178638,Modena,2024-10-20,152.8455
MII178659,Monza,2024-10-20,180.0487
MII178666,Napoli Poggioreale,2024-10-20,155.6701
MII178672,Napoli Secondigliano,2024-10-20,130.5580
MII178681,Noto,2024-10-20,82.9545
MII178700,Novara,2024-10-20,109.6154
MII179224,Nuoro,2024-10-20,68.6347
MII178003,Onanì,2024-10-20,70.0000
MII179237,Opera,2024-10-20,144.1242
MII179274,Oristano,2024-10-20,90.5303
MII179280,Orvieto,2024-10-20,125.5102
MII179290,Padova,2024-10-20,119.0217
MII179299,Padova Nuovo Complesso,2024-10-20,145.6000
MII179306,Palermo Pagliarelli,2024-10-20,122.5779
MII179324,Palermo Ucciardone,2024-10-20,106.5306
MII179331,Paliano,2024-10-20,42.7632
MII179342,Palmi,2024-10-20,117.0213
MII179353,Paola,2024-10-20,118.8312
MII179364,Parma,2024-10-20,115.6800
MII182910,Pavia,2024-10-20,134.4358
MII179781,Perugia,2024-10-20,148.7097
MII179818,Pesaro,2024-10-20,172.3684
MII179830,Pescara,2024-10-20,168.3824
MII179842,Piacenza,2024-10-20,124.8157
MII179856,Piazza Armerina,2024-10-20,156.2500
MII182919,Pisa,2024-10-20,159.7765
MII179896,Pistoia,2024-10-20,90.7895
MII179913,Pordenone,2024-10-20,145.9459
MII179932,Porto Azzurro,2024-10-20,97.1963
MII179938,Potenza,2024-10-20,188.4615
MII179958,Prato,2024-10-20,102.5597
MII179965,Ragusa,2024-10-20,104.9180
MII179981,Ravenna,2024-10-20,148.9796
MII179988,Reggio Calabria Arghillà,2024-10-20,111.2628
MII179995,Reggio Calabria Giuseppe Panzera,2024-10-20,114.5349
MII182339,Reggio Emilia,2024-10-20,118.8841
MII169535,Rieti,2024-10-20,186.3469
MII180001,Rimini,2024-10-20,138.1356
MII180380,Roma Rebibbia,2024-10-20,103.0405
MII180348,Roma Rebibbia femminile,2024-10-20,144.6970
