id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,posti_reali,tasso_occupazione
MII180426,Salerno,Casa circondariale - Antonio Caputo,376,0,587,2024-08-03,376,1.56
MII181079,Sant'Angelo dei Lombardi,"Casa di reclusione - Famiglietti, Forgetta, Bartolo",124,7,183,2024-08-03,117,1.56
MII179290,Padova,Casa circondariale,188,2,212,2024-08-03,186,1.14
MII180487,Santa Maria Capua Vetere,Casa circondariale - Francesco Uccella,818,125,971,2024-08-03,693,1.4
MII179913,Pordenone,Casa circondariale,37,0,54,2024-08-03,37,1.46
MII180424,Rovigo,Casa circondariale,211,8,259,2024-08-03,203,1.28
MII159065,Ascoli Piceno,Casa circondariale,103,4,132,2024-08-03,99,1.33
MII173237,Castelfranco Emilia,Casa di reclusione,191,42,108,2024-08-03,149,0.72
MII174501,Fermo,Casa di reclusione,43,0,50,2024-08-03,43,1.16
MII181645,Treviso,Casa circondariale,138,0,233,2024-08-03,138,1.69
MII176424,Fossombrone,Casa di reclusione,182,81,90,2024-08-03,101,0.89
MII181661,Trieste,Casa circondariale - Ernesto Mari,150,4,235,2024-08-03,146,1.61
MII181672,Udine,Casa circondariale - Antonio Santoro,95,0,170,2024-08-03,95,1.79
MII179818,Pesaro,Casa circondariale,153,2,239,2024-08-03,151,1.58
MII181863,Venezia Santa Maria Maggiore,Casa circondariale,159,0,249,2024-08-03,159,1.57
MII181847,Venezia Giudecca,Casa di reclusione femminile,112,0,94,2024-08-03,112,0.84
MII181891,Verona,Casa circondariale - Montorio,335,19,582,2024-08-03,316,1.84
MII182440,Avezzano,Casa circondariale,53,2,70,2024-08-03,51,1.37
MII173088,Campobasso,Casa circondariale,106,10,167,2024-08-03,96,1.74
MII157783,Alba,Casa di reclusione - Giuseppe Montalto,138,89,43,2024-08-03,49,0.88
MII173114,Cassino,Casa circondariale,200,73,217,2024-08-03,127,1.71
MII173364,Chieti,Casa circondariale,79,0,138,2024-08-03,79,1.75
MII159069,Asti,Casa di reclusione,205,1,261,2024-08-03,204,1.28
MII173688,Civitavecchia Giuseppe Passerini,Casa di reclusione,144,52,75,2024-08-03,92,0.82
MII173356,Chiavari,Casa di reclusione,52,0,59,2024-08-03,52,1.13
MII176437,Frosinone,Casa circondariale - Giuseppe Pagliei,513,24,617,2024-08-03,489,1.26
MII173764,Cuneo,Casa circondariale,433,54,367,2024-08-03,379,0.97
MII181636,Trento,Casa circondariale - Spini di Gardolo,422,5,369,2024-08-03,417,0.88
MII172814,Brissogne - Aosta,Casa circondariale,181,4,148,2024-08-03,177,0.84
MII176759,Isernia,Casa circondariale,50,0,68,2024-08-03,50,1.36
MII176414,Fossano,Casa di reclusione,136,0,102,2024-08-03,136,0.75
MII176703,Genova Pontedecimo,Casa circondariale,96,0,159,2024-08-03,96,1.66
MII177107,Lanciano,Casa circondariale,227,0,236,2024-08-03,227,1.04
MII177323,Larino,Casa circondariale,119,0,126,2024-08-03,119,1.06
MII176749,Imperia,Casa circondariale,53,0,70,2024-08-03,53,1.32
MII176781,Ivrea,Casa circondariale,195,9,263,2024-08-03,186,1.41
MII179331,Paliano,Casa di reclusione,156,4,63,2024-08-03,152,0.41
