name_toclean,name_match,count
treviso casa circondariale,treviso casa circondariale,3
vicenza casa circondariale,vicenza casa circondariale,3
"arienzo ""gennaro de angelis"" casa circondariale",arienzo casa circondariale gennaro de angelis,6
arienzo casa circondariale,arienzo casa circondariale gennaro de angelis,3
"arienzo ""g. de angelis"" casa di reclusione",arienzo casa circondariale gennaro de angelis,4
sanremo  casa circondariale,reggio calabria arghillà casa circondariale,2
"bergamo ""don fausto resmini"" casa circondariale",bergamo casa circondariale,3
sanremo casa circondariale,reggio calabria arghillà casa circondariale,2
"sant'angelo dei lombardi ""l.famiglietti  r.forgetta  g.bartolo"" casa di reclusione",sant'angelo dei lombardi casa di reclusione,6
"reggio emilia ""c.c.  e   c.r."" istituto di pena",reggio emilia istituto di pena,5
"alessandria ""g. cantiello  s. gaeta"" casa circondariale","alessandria cantiello, gaeta casa circondariale",5
"torino ""g. lorusso  l. cutugno"" le vallette casa circondariale",torino casa circondariale,3
"potenza ""antonio santoro"" casa circondariale",potenza casa circondariale,3
"castrovillari ""rosa sisca"" casa circondariale",castrovillari casa circondariale,3
"cosenza ""sergio cosmai"" casa circondariale",cosenza casa circondariale,3
"catanzaro ""ugo caridi"" casa circondariale",catanzaro casa circondariale,3
"palmi ""filippo salsone"" casa circondariale",palmi casa circondariale,3
"reggio calabria ""giuseppe panzera"" casa circondariale",reggio calabria giuseppe panzera casa circondariale,6
"ariano irpino ""pasquale campanello"" casa circondariale",ariano irpino casa circondariale,4
"avellino ""antimo graziano"" bellizzi casa circondariale",avellino casa circondariale,3
"napoli ""giuseppe salvia"" poggioreale casa circondariale",napoli poggioreale casa circondariale,4
"napoli ""pasquale mandato"" secondigliano casa circondariale",napoli secondigliano casa circondariale,4
"salerno ""antonio caputo"" casa circondariale",salerno casa circondariale,3
"bologna ""rocco d'amato"" casa circondariale",bologna casa circondariale,3
"ferrara ""costantino satta"" casa circondariale",ferrara casa circondariale,3
"frosinone ""giuseppe pagliei"" casa circondariale",frosinone casa circondariale,3
"civitavecchia ""giuseppe passerini"" casa di reclusione",civitavecchia giuseppe passerini casa di reclusione,6
"roma ""germana stefanini"" rebibbia femminile casa circondariale femminile",roma rebibbia femminile casa circondariale,5
"roma ""raffaele cinotti"" rebibbia n.c.1 casa circondariale",roma rebibbia iiiª casa casa circondariale,4
"brescia ""nerio fischione"" canton monbello casa circondariale",brescia canton monbello casa circondariale,5
"milano ""francesco di cataldo"" san vittore casa circondariale",milano san vittore casa circondariale,5
"alba ""giuseppe montalto"" casa di reclusione",alba casa di reclusione,4
"saluzzo ""rodolfo morandi"" casa di reclusione",saluzzo casa di reclusione,4
"bari ""francesco rucci"" casa circondariale",bari casa circondariale,3
"cagliari ""ettore scalas"" casa circondariale",cagliari uta casa circondariale,3
"oristano ""salvatore soro"" casa di reclusione",oristano casa di reclusione,4
"alghero ""giuseppe tomasiello"" casa di reclusione",civitavecchia giuseppe passerini casa di reclusione,4
"sassari ""giovanni bacchiddu"" casa circondariale",sassari casa circondariale,3
"tempio pausania ""paolo pittalis"" casa di reclusione",tempio pausania casa di reclusione,5
"agrigento ""pasquale di lorenzo"" casa circondariale",agrigento casa circondariale,3
"enna ""luigi bodenza"" casa circondariale",enna casa circondariale,3
"palermo ""antonio lorusso"" pagliarelli casa circondariale",palermo pagliarelli casa circondariale,4
"palermo ""calogero di bona"" ucciardone casa di reclusione",palermo ucciardone casa di reclusione,5
"termini imerese ""antonino burrafato"" casa circondariale",termini imerese casa circondariale,4
"noto ""attilio bonincontro"" casa di reclusione",noto casa di reclusione,4
"favignana ""giuseppe barraco"" casa di reclusione",civitavecchia giuseppe passerini casa di reclusione,4
"trapani ""pietro cerulli"" casa circondariale",trapani casa circondariale,3
"porto azzurro ""pasquale de santis"" casa di reclusione",porto azzurro casa di reclusione,5
camerino casa circondariale,reggio calabria arghillà casa circondariale,2
arienzo  casa circondariale,arienzo casa circondariale gennaro de angelis,3
camerino  casa circondariale,reggio calabria arghillà casa circondariale,2
"lode' ""mamonelode'"" casa di reclusione",brescia verziano casa di reclusione,3
agrigento casa circondariale,agrigento casa circondariale,3
termini imerese casa circondariale,termini imerese casa circondariale,4
noto casa di reclusione,noto casa di reclusione,4
trapani casa circondariale,trapani casa circondariale,3
"palermo ""pagliarelli"" casa circondariale",palermo pagliarelli casa circondariale,4
"palermo ""ucciardone"" casa di reclusione",palermo ucciardone casa di reclusione,5
"lode' ""mamone-lode'"" casa di reclusione",brescia verziano casa di reclusione,3
agrigento  casa circondariale,agrigento casa circondariale,3
termini imerese  casa circondariale,termini imerese casa circondariale,4
noto  casa di reclusione,noto casa di reclusione,4
trapani  casa circondariale,trapani casa circondariale,3
nan,,0
ariano irpino  casa circondariale,ariano irpino casa circondariale,4
reggio emilia  casa circondariale,reggio calabria arghillà casa circondariale,3
